WEEK,REGION,COUNTRY,ADMIN1,EVENT_TYPE,SUB_EVENT_TYPE,EVENTS,FATALITIES,POPULATION_EXPOSURE,DISORDER_TYPE,ID,CENTROID_LATITUDE,CENTROID_LONGITUDE
2021-06-05,North America,Canada,Alberta,Protests,Peaceful protest,9,0,7982.0,Demonstrations,485.0,54.498,-115.0035
2021-06-12,North America,Canada,Alberta,Protests,Peaceful protest,6,0,2524.0,Demonstrations,485.0,54.498,-115.0035
2021-06-19,North America,Canada,Alberta,Protests,Peaceful protest,2,0,4736.0,Demonstrations,485.0,54.498,-115.0035
2021-06-26,North America,Canada,Alberta,Protests,Peaceful protest,5,0,6370.0,Demonstrations,485.0,54.498,-115.0035
2021-07-10,North America,Canada,Alberta,Protests,Peaceful protest,4,0,4736.0,Demonstrations,485.0,54.498,-115.0035
2021-07-24,North America,Canada,Alberta,Protests,Peaceful protest,7,0,9294.0,Demonstrations,485.0,54.498,-115.0035
2021-07-31,North America,Canada,Alberta,Protests,Peaceful protest,12,0,6274.0,Demonstrations,485.0,54.498,-115.0035
2021-08-07,North America,Canada,Alberta,Protests,Peaceful protest,8,0,6703.0,Demonstrations,485.0,54.498,-115.0035
2021-08-14,North America,Canada,Alberta,Protests,Peaceful protest,3,0,4736.0,Demonstrations,485.0,54.498,-115.0035
2021-08-21,North America,Canada,Alberta,Protests,Peaceful protest,1,0,1634.0,Demonstrations,485.0,54.498,-115.0035
2021-08-28,North America,Canada,Alberta,Protests,Peaceful protest,3,0,4736.0,Demonstrations,485.0,54.498,-115.0035
2021-09-04,North America,Canada,Alberta,Protests,Peaceful protest,2,0,2115.0,Demonstrations,485.0,54.498,-115.0035
2021-09-11,North America,Canada,Alberta,Protests,Peaceful protest,5,0,4736.0,Demonstrations,485.0,54.498,-115.0035
2021-09-18,North America,Canada,Alberta,Protests,Peaceful protest,5,0,4736.0,Demonstrations,485.0,54.498,-115.0035
2021-09-25,North America,Canada,Alberta,Protests,Peaceful protest,3,0,2117.0,Demonstrations,485.0,54.498,-115.0035
2021-10-02,North America,Canada,Alberta,Protests,Peaceful protest,2,0,4255.0,Demonstrations,485.0,54.498,-115.0035
2021-10-09,North America,Canada,Alberta,Protests,Peaceful protest,2,0,4736.0,Demonstrations,485.0,54.498,-115.0035
2021-10-16,North America,Canada,Alberta,Protests,Peaceful protest,3,0,5562.0,Demonstrations,485.0,54.498,-115.0035
2021-10-23,North America,Canada,Alberta,Protests,Peaceful protest,6,0,2115.0,Demonstrations,485.0,54.498,-115.0035
2021-10-30,North America,Canada,Alberta,Protests,Peaceful protest,3,0,6274.0,Demonstrations,485.0,54.498,-115.0035
2021-11-13,North America,Canada,Alberta,Protests,Peaceful protest,5,0,6370.0,Demonstrations,485.0,54.498,-115.0035
2021-11-20,North America,Canada,Alberta,Protests,Peaceful protest,8,0,9590.0,Demonstrations,485.0,54.498,-115.0035
2021-11-27,North America,Canada,Alberta,Protests,Peaceful protest,2,0,3715.0,Demonstrations,485.0,54.498,-115.0035
2021-12-04,North America,Canada,Alberta,Protests,Peaceful protest,1,0,2115.0,Demonstrations,485.0,54.498,-115.0035
2021-12-11,North America,Canada,Alberta,Protests,Peaceful protest,3,0,6969.0,Demonstrations,485.0,54.498,-115.0035
2021-12-18,North America,Canada,Alberta,Protests,Peaceful protest,4,0,3739.0,Demonstrations,485.0,54.498,-115.0035
2022-01-01,North America,Canada,Alberta,Protests,Peaceful protest,4,0,4769.0,Demonstrations,485.0,54.498,-115.0035
2022-01-08,North America,Canada,Alberta,Protests,Peaceful protest,3,0,4769.0,Demonstrations,485.0,54.498,-115.0035
2022-01-22,North America,Canada,Alberta,Protests,Peaceful protest,4,0,4325.0,Demonstrations,485.0,54.498,-115.0035
2022-01-29,North America,Canada,Alberta,Protests,Peaceful protest,15,0,10650.0,Demonstrations,485.0,54.498,-115.0035
2022-02-05,North America,Canada,Alberta,Protests,Peaceful protest,10,0,5577.0,Demonstrations,485.0,54.498,-115.0035
2022-02-12,North America,Canada,Alberta,Protests,Peaceful protest,9,0,6640.0,Demonstrations,485.0,54.498,-115.0035
2022-02-19,North America,Canada,Alberta,Protests,Peaceful protest,6,0,4769.0,Demonstrations,485.0,54.498,-115.0035
2022-02-26,North America,Canada,Alberta,Protests,Peaceful protest,8,0,9760.0,Demonstrations,485.0,54.498,-115.0035
2022-03-05,North America,Canada,Alberta,Protests,Peaceful protest,4,0,4769.0,Demonstrations,485.0,54.498,-115.0035
2022-03-12,North America,Canada,Alberta,Protests,Peaceful protest,3,0,5602.0,Demonstrations,485.0,54.498,-115.0035
2022-03-19,North America,Canada,Alberta,Protests,Peaceful protest,3,0,2130.0,Demonstrations,485.0,54.498,-115.0035
2022-03-26,North America,Canada,Alberta,Protests,Peaceful protest,2,0,2130.0,Demonstrations,485.0,54.498,-115.0035
2022-04-02,North America,Canada,Alberta,Protests,Peaceful protest,12,0,16391.0,Demonstrations,485.0,54.498,-115.0035
2022-04-09,North America,Canada,Alberta,Protests,Peaceful protest,2,0,4769.0,Demonstrations,485.0,54.498,-115.0035
2022-04-16,North America,Canada,Alberta,Protests,Peaceful protest,1,0,2639.0,Demonstrations,485.0,54.498,-115.0035
2022-04-30,North America,Canada,Alberta,Protests,Peaceful protest,6,0,6414.0,Demonstrations,485.0,54.498,-115.0035
2022-05-07,North America,Canada,Alberta,Protests,Peaceful protest,7,0,6654.0,Demonstrations,485.0,54.498,-115.0035
2022-05-14,North America,Canada,Alberta,Protests,Peaceful protest,6,0,10589.0,Demonstrations,485.0,54.498,-115.0035
2022-05-21,North America,Canada,Alberta,Protests,Peaceful protest,5,0,4769.0,Demonstrations,485.0,54.498,-115.0035
2022-05-28,North America,Canada,Alberta,Protests,Peaceful protest,3,0,4769.0,Demonstrations,485.0,54.498,-115.0035
2022-06-04,North America,Canada,Alberta,Protests,Peaceful protest,1,0,3232.0,Demonstrations,485.0,54.498,-115.0035
2022-06-11,North America,Canada,Alberta,Protests,Peaceful protest,1,0,2639.0,Demonstrations,485.0,54.498,-115.0035
2022-06-18,North America,Canada,Alberta,Protests,Peaceful protest,2,0,4769.0,Demonstrations,485.0,54.498,-115.0035
2022-06-25,North America,Canada,Alberta,Protests,Peaceful protest,5,0,4769.0,Demonstrations,485.0,54.498,-115.0035
2022-07-02,North America,Canada,Alberta,Protests,Peaceful protest,2,0,4769.0,Demonstrations,485.0,54.498,-115.0035
2022-07-09,North America,Canada,Alberta,Protests,Peaceful protest,1,0,2639.0,Demonstrations,485.0,54.498,-115.0035
2022-07-16,North America,Canada,Alberta,Protests,Peaceful protest,2,0,2639.0,Demonstrations,485.0,54.498,-115.0035
2022-07-23,North America,Canada,Alberta,Protests,Peaceful protest,2,0,2639.0,Demonstrations,485.0,54.498,-115.0035
2022-07-30,North America,Canada,Alberta,Protests,Peaceful protest,2,0,2130.0,Demonstrations,485.0,54.498,-115.0035
2022-08-06,North America,Canada,Alberta,Protests,Peaceful protest,2,0,4769.0,Demonstrations,485.0,54.498,-115.0035
2022-08-13,North America,Canada,Alberta,Protests,Peaceful protest,1,0,2639.0,Demonstrations,485.0,54.498,-115.0035
2022-08-20,North America,Canada,Alberta,Protests,Peaceful protest,1,0,2130.0,Demonstrations,485.0,54.498,-115.0035
2022-08-27,North America,Canada,Alberta,Protests,Peaceful protest,3,0,4769.0,Demonstrations,485.0,54.498,-115.0035
2022-09-03,North America,Canada,Alberta,Protests,Peaceful protest,2,0,4769.0,Demonstrations,485.0,54.498,-115.0035
2022-09-10,North America,Canada,Alberta,Protests,Peaceful protest,2,0,3521.0,Demonstrations,485.0,54.498,-115.0035
2022-09-17,North America,Canada,Alberta,Protests,Peaceful protest,7,0,4769.0,Demonstrations,485.0,54.498,-115.0035
2022-09-24,North America,Canada,Alberta,Protests,Peaceful protest,5,0,7229.0,Demonstrations,485.0,54.498,-115.0035
2022-10-01,North America,Canada,Alberta,Protests,Peaceful protest,7,0,6317.0,Demonstrations,485.0,54.498,-115.0035
2022-10-08,North America,Canada,Alberta,Protests,Peaceful protest,2,0,2639.0,Demonstrations,485.0,54.498,-115.0035
2022-10-15,North America,Canada,Alberta,Protests,Peaceful protest,3,0,8060.0,Demonstrations,485.0,54.498,-115.0035
2022-10-22,North America,Canada,Alberta,Protests,Peaceful protest,3,0,4769.0,Demonstrations,485.0,54.498,-115.0035
