iso3_code,numeric_code,country_name,year,tourism_expenditure_usd_millions,gdp_usd,tourism_gdp_pct,dependency_category,tfi_decline_modifier
PER,604,Peru,2019,4703.0,289221969062.941,1.6260867095391793,minimal_dependency,1.0
POL,616,Poland,2019,16011.0,917767106146.761,1.7445602367709687,minimal_dependency,1.0
PRI,630,Puerto Rico (US),2019,3636.7,126029527033.705,2.8855936268231894,minimal_dependency,1.0
QAT,634,Qatar,2019,15647.0,219162637362.637,7.139446845636249,low_dependency,1.0
ROU,642,Romania,2019,4240.0,382564217988.866,1.1083106575647907,minimal_dependency,1.0
RUS,643,Russian Federation,2019,17288.0,2173835806671.66,0.79527625531523,minimal_dependency,1.0
RWA,646,Rwanda,2019,635.9,14251642235.0968,4.461941925780323,low_dependency,1.0
VCT,670,St. Vincent and the Grenadines,2019,246.0,1157207407.40741,21.258073395082626,moderately_dependent,0.75
SAU,682,Saudi Arabia,2019,19849.0,1239804533333.33,1.6009781756995283,minimal_dependency,1.0
SYC,690,Seychelles,2019,884.0,2167239562.46013,40.7892147832763,highly_dependent,0.5
VNM,704,Viet Nam,2019,11830.0,476388230307.175,2.4832687391063417,minimal_dependency,1.0
ZAF,710,South Africa,2019,9064.0,401144998373.585,2.2595320985552276,minimal_dependency,1.0
ZWE,716,Zimbabwe,2019,285.0,41539411516.4448,0.6860954202183942,minimal_dependency,1.0
SWZ,748,Eswatini,2019,14.3,4858885840.77236,0.29430615306917557,minimal_dependency,1.0
TJK,762,Tajikistan,2019,179.1,14204575548.5536,1.2608613287162749,minimal_dependency,1.0
TON,776,Tonga,2019,57.1,591139749.44287,9.659306459058943,low_dependency,1.0
TTO,780,Trinidad and Tobago,2019,481.0,25633544529.4849,1.876447478602623,minimal_dependency,1.0
ARE,784,United Arab Emirates,2019,38413.3,552324846834.581,6.954838302160363,low_dependency,1.0
TUR,792,Turkiye,2019,45789.0,1359123768774.12,3.3690088461406282,low_dependency,1.0
UKR,804,Ukraine,2019,2595.0,190741262414.705,1.3604817159897027,minimal_dependency,1.0
EGY,818,"Egypt, Arab Rep.",2019,14256.0,389059911003.566,3.664217154429292,low_dependency,1.0
TZA,834,Tanzania,2019,2624.5,78844405385.2195,3.328707962444726,low_dependency,1.0
USA,840,United States,2019,239065.0,28750956130731.2,0.8315027817265153,minimal_dependency,1.0
VIR,850,Virgin Islands (U.S.),2019,1031.0,4672000000.0,22.06763698630137,moderately_dependent,0.75
URY,858,Uruguay,2019,2341.0,80961511073.5797,2.891497415200718,minimal_dependency,1.0
UZB,860,Uzbekistan,2019,1711.0,114965293466.611,1.4882752423860164,minimal_dependency,1.0
WSM,882,Samoa,2019,206.1,1175749785.65113,17.52923985317691,moderately_dependent,0.75
