indicator_code,indicator_label,reporter_area_code,reporter_area_label,partner_area_code,partner_area_label,year,value,unit,indicator_name
OUTB_TRIP_TOTL_TOTL_TOUR,outbound - trips - total - total - overnight visitors (tourists),12,Algeria,999,World,2018,5610.0,thousand trips,outbound - trips - total - total - overnight visitors (tourists)
OUTB_TRIP_TOTL_TOTL_TOUR,outbound - trips - total - total - overnight visitors (tourists),12,Algeria,999,World,2019,5732.0,thousand trips,outbound - trips - total - total - overnight visitors (tourists)
OUTB_TRIP_TOTL_TOTL_TOUR,outbound - trips - total - total - overnight visitors (tourists),12,Algeria,999,World,2020,1386.0,thousand trips,outbound - trips - total - total - overnight visitors (tourists)
OUTB_TRIP_TOTL_TOTL_TOUR,outbound - trips - total - total - overnight visitors (tourists),12,Algeria,999,World,2021,344.0,thousand trips,outbound - trips - total - total - overnight visitors (tourists)
OUTB_TRIP_TOTL_TOTL_TOUR,outbound - trips - total - total - overnight visitors (tourists),12,Algeria,999,World,2022,2865.0,thousand trips,outbound - trips - total - total - overnight visitors (tourists)
OUTB_TRIP_TOTL_TOTL_TOUR,outbound - trips - total - total - overnight visitors (tourists),20,Andorra,999,World,2020,37.4,thousand trips,outbound - trips - total - total - overnight visitors (tourists)
OUTB_TRIP_TOTL_TOTL_TOUR,outbound - trips - total - total - overnight visitors (tourists),20,Andorra,999,World,2021,35.9,thousand trips,outbound - trips - total - total - overnight visitors (tourists)
OUTB_TRIP_TOTL_TOTL_TOUR,outbound - trips - total - total - overnight visitors (tourists),20,Andorra,999,World,2022,72.7,thousand trips,outbound - trips - total - total - overnight visitors (tourists)
OUTB_TRIP_TOTL_TOTL_TOUR,outbound - trips - total - total - overnight visitors (tourists),20,Andorra,999,World,2023,54.7,thousand trips,outbound - trips - total - total - overnight visitors (tourists)
OUTB_TRIP_TOTL_TOTL_TOUR,outbound - trips - total - total - overnight visitors (tourists),20,Andorra,999,World,2024,84.3,thousand trips,outbound - trips - total - total - overnight visitors (tourists)
OUTB_TRIP_TOTL_TOTL_TOUR,outbound - trips - total - total - overnight visitors (tourists),24,Angola,999,World,1995,3.0,thousand trips,outbound - trips - total - total - overnight visitors (tourists)
OUTB_TRIP_TOTL_TOTL_TOUR,outbound - trips - total - total - overnight visitors (tourists),24,Angola,999,World,1996,3.0,thousand trips,outbound - trips - total - total - overnight visitors (tourists)
OUTB_TRIP_TOTL_TOTL_TOUR,outbound - trips - total - total - overnight visitors (tourists),31,Azerbaijan,999,World,2005,887.0,thousand trips,outbound - trips - total - total - overnight visitors (tourists)
OUTB_TRIP_TOTL_TOTL_TOUR,outbound - trips - total - total - overnight visitors (tourists),31,Azerbaijan,999,World,2006,890.0,thousand trips,outbound - trips - total - total - overnight visitors (tourists)
OUTB_TRIP_TOTL_TOTL_TOUR,outbound - trips - total - total - overnight visitors (tourists),31,Azerbaijan,999,World,2007,791.0,thousand trips,outbound - trips - total - total - overnight visitors (tourists)
OUTB_TRIP_TOTL_TOTL_TOUR,outbound - trips - total - total - overnight visitors (tourists),31,Azerbaijan,999,World,2008,1048.0,thousand trips,outbound - trips - total - total - overnight visitors (tourists)
OUTB_TRIP_TOTL_TOTL_TOUR,outbound - trips - total - total - overnight visitors (tourists),31,Azerbaijan,999,World,2009,1145.0,thousand trips,outbound - trips - total - total - overnight visitors (tourists)
OUTB_TRIP_TOTL_TOTL_TOUR,outbound - trips - total - total - overnight visitors (tourists),31,Azerbaijan,999,World,2010,1820.0,thousand trips,outbound - trips - total - total - overnight visitors (tourists)
OUTB_TRIP_TOTL_TOTL_TOUR,outbound - trips - total - total - overnight visitors (tourists),31,Azerbaijan,999,World,2011,2308.0,thousand trips,outbound - trips - total - total - overnight visitors (tourists)
OUTB_TRIP_TOTL_TOTL_TOUR,outbound - trips - total - total - overnight visitors (tourists),31,Azerbaijan,999,World,2012,2829.0,thousand trips,outbound - trips - total - total - overnight visitors (tourists)
OUTB_TRIP_TOTL_TOTL_TOUR,outbound - trips - total - total - overnight visitors (tourists),31,Azerbaijan,999,World,2013,3307.0,thousand trips,outbound - trips - total - total - overnight visitors (tourists)
OUTB_TRIP_TOTL_TOTL_TOUR,outbound - trips - total - total - overnight visitors (tourists),31,Azerbaijan,999,World,2014,3319.0,thousand trips,outbound - trips - total - total - overnight visitors (tourists)
OUTB_TRIP_TOTL_TOTL_TOUR,outbound - trips - total - total - overnight visitors (tourists),31,Azerbaijan,999,World,2015,3256.0,thousand trips,outbound - trips - total - total - overnight visitors (tourists)
OUTB_TRIP_TOTL_TOTL_TOUR,outbound - trips - total - total - overnight visitors (tourists),31,Azerbaijan,999,World,2016,3592.0,thousand trips,outbound - trips - total - total - overnight visitors (tourists)
OUTB_TRIP_TOTL_TOTL_TOUR,outbound - trips - total - total - overnight visitors (tourists),31,Azerbaijan,999,World,2017,3447.0,thousand trips,outbound - trips - total - total - overnight visitors (tourists)
OUTB_TRIP_TOTL_TOTL_TOUR,outbound - trips - total - total - overnight visitors (tourists),31,Azerbaijan,999,World,2018,3919.0,thousand trips,outbound - trips - total - total - overnight visitors (tourists)
OUTB_TRIP_TOTL_TOTL_TOUR,outbound - trips - total - total - overnight visitors (tourists),31,Azerbaijan,999,World,2019,4579.0,thousand trips,outbound - trips - total - total - overnight visitors (tourists)
OUTB_TRIP_TOTL_TOTL_TOUR,outbound - trips - total - total - overnight visitors (tourists),31,Azerbaijan,999,World,2022,1345.0,thousand trips,outbound - trips - total - total - overnight visitors (tourists)
OUTB_TRIP_TOTL_TOTL_TOUR,outbound - trips - total - total - overnight visitors (tourists),32,Argentina,999,World,1995,3815.0,thousand trips,outbound - trips - total - total - overnight visitors (tourists)
OUTB_TRIP_TOTL_TOTL_TOUR,outbound - trips - total - total - overnight visitors (tourists),32,Argentina,999,World,1996,4296.0,thousand trips,outbound - trips - total - total - overnight visitors (tourists)
OUTB_TRIP_TOTL_TOTL_TOUR,outbound - trips - total - total - overnight visitors (tourists),32,Argentina,999,World,1997,4517.0,thousand trips,outbound - trips - total - total - overnight visitors (tourists)
OUTB_TRIP_TOTL_TOTL_TOUR,outbound - trips - total - total - overnight visitors (tourists),32,Argentina,999,World,1998,4592.0,thousand trips,outbound - trips - total - total - overnight visitors (tourists)
OUTB_TRIP_TOTL_TOTL_TOUR,outbound - trips - total - total - overnight visitors (tourists),32,Argentina,999,World,1999,4786.0,thousand trips,outbound - trips - total - total - overnight visitors (tourists)
OUTB_TRIP_TOTL_TOTL_TOUR,outbound - trips - total - total - overnight visitors (tourists),32,Argentina,999,World,2000,4953.0,thousand trips,outbound - trips - total - total - overnight visitors (tourists)
OUTB_TRIP_TOTL_TOTL_TOUR,outbound - trips - total - total - overnight visitors (tourists),32,Argentina,999,World,2001,4762.0,thousand trips,outbound - trips - total - total - overnight visitors (tourists)
OUTB_TRIP_TOTL_TOTL_TOUR,outbound - trips - total - total - overnight visitors (tourists),32,Argentina,999,World,2002,3008.0,thousand trips,outbound - trips - total - total - overnight visitors (tourists)
OUTB_TRIP_TOTL_TOTL_TOUR,outbound - trips - total - total - overnight visitors (tourists),32,Argentina,999,World,2003,3088.0,thousand trips,outbound - trips - total - total - overnight visitors (tourists)
