indicator_code,indicator_label,reporter_area_code,reporter_area_label,year,value,unit,indicator_name
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),36,Australia,2007,74464.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),36,Australia,2008,72009.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),36,Australia,2009,67670.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),36,Australia,2010,69297.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),36,Australia,2011,71895.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),36,Australia,2012,74472.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),36,Australia,2013,75796.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),36,Australia,2014,84481.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),36,Australia,2015,87523.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),36,Australia,2016,90742.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),36,Australia,2017,98484.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),36,Australia,2018,104822.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),36,Australia,2019,117448.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
